transmission,model,Year of Manufacture,City,ft,bt,Ownership,Kms Driven,Engine Type,price
0,10,2013.0,0,1,7,3,120000.0,431,1975000.0
1,90,2016.0,0,4,2,1,45578.0,320,695000.0
1,298,2013.0,0,4,8,1,100000.0,402,500000.0
0,14,2014.0,0,1,8,3,100000.0,407,1644000.0000000002
1,50,2019.0,0,4,7,1,42000.0,396,894999.9999999999
1,89,2013.0,0,4,2,3,90000.0,229,350000.0
1,86,2012.0,0,1,8,1,70000.0,236,550000.0
0,51,2010.0,0,1,7,4,100000.0,380,750000.0
1,172,2017.0,0,4,2,1,16306.0,51,581000.0
1,184,2020.0,0,4,2,4,25086.0,297,513000.0
1,157,2017.0,0,4,2,1,54845.0,59,650000.0
1,55,2020.0,0,1,2,1,35642.0,88,806000.0
0,157,2016.0,0,4,2,1,22173.0,455,725000.0
0,17,2018.0,0,1,8,1,50000.0,415,4950000.0
1,77,2014.0,0,4,2,1,67790.0,320,426000.0
1,156,2019.0,0,4,2,1,38000.0,289,485000.0
1,61,2012.0,0,4,2,3,49713.0,475,351000.0
1,238,2021.0,0,4,2,1,10002.0,15,490000.00000000006
1,147,2017.0,0,1,7,1,46706.0,498,1495000.0
1,179,2014.0,0,1,2,3,90000.0,220,510000.0
0,21,2016.0,0,1,7,1,106000.0,504,2750000.0
0,300,2017.0,0,4,2,1,55833.0,393,1025000.0
0,7,2015.0,0,1,7,3,46716.0,385,2345000.0
1,249,2016.0,0,1,8,1,54000.0,236,825000.0
1,50,2016.0,0,1,7,3,68000.0,380,675000.0
1,54,2010.0,0,1,2,4,113348.0,245,190000.0
0,4,2014.0,0,1,8,1,134000.0,382,890000.0
0,239,2022.0,0,4,7,1,20000.0,27,823000.0
1,179,2014.0,0,4,2,1,52311.0,287,554000.0
1,180,2014.0,0,4,8,1,59514.0,508,499000.0
0,239,2022.0,0,4,7,1,10000.0,27,815000.0
1,157,2020.0,0,4,2,1,36743.0,59,719000.0
1,160,2015.0,0,4,2,1,83046.0,296,372000.0
0,160,2018.0,0,4,2,1,10000.0,293,515000.00000000006
1,66,2016.0,0,4,2,3,59420.0,476,554000.0
1,275,2023.0,0,4,8,1,4545.0,355,700000.0
1,179,2011.0,0,4,2,1,70404.0,287,410000.0
1,163,2016.0,0,4,8,1,39725.0,478,685000.0
0,14,2022.0,0,4,8,1,10000.0,408,5500000.0
0,107,2022.0,0,1,7,1,10000.0,91,1800000.0
1,184,2006.0,0,4,2,3,60000.0,289,180000.0
1,50,2018.0,0,4,7,3,50000.0,396,765000.0
1,122,2023.0,0,4,7,1,10000.0,78,1950000.0
1,75,2013.0,0,4,8,4,50000.0,242,491000.0
1,50,2021.0,0,1,7,1,23272.0,380,1175000.0
1,50,2020.0,0,4,7,1,8407.0,396,999000.0
0,179,2018.0,0,4,2,1,50000.0,449,715000.0
0,3,2018.0,0,1,8,1,10000.0,381,3400000.0
0,73,2021.0,0,4,7,1,14881.0,64,1779000.0
1,90,2012.0,0,4,2,1,54305.0,320,404000.0
1,89,2016.0,0,4,2,3,50000.0,265,358000.0
0,172,2017.0,0,4,2,1,64998.0,51,581000.0
1,90,2015.0,0,4,2,1,75940.0,320,630000.0
1,66,2016.0,0,4,2,1,25639.0,476,560000.0
1,147,2019.0,0,1,7,1,44107.0,498,1551000.0
1,86,2014.0,0,4,8,3,60000.0,450,525000.0
1,160,2018.0,0,4,2,1,41594.0,293,501000.0
0,184,2020.0,0,4,2,3,24786.0,297,617000.0
